ETFSym,HoldingSym,HoldingPercentage
HDG,TMP,0.0001
HDG,OPRX,0.0001
HDG,LBRT,0.0001
HDG,CTBI,0.0001
HDG,USPH,0.0001
HDG,RXT,0.0001
HDG,ALG,0.0001
HDG,NVEE,0.0001
HDG,RUTH,0.0001
HDG,FC,0.0001
HDG,MBWM,0.0001
HDG,GSBC,0.0001
HDG,CDE,0.0001
HDG,PEBO,0.0001
HDG,MDGL,0.0001
HDG,GMRE,0.0001
HDG,AGIO,0.0001
HDG,CPF,0.0001
HDG,ATSG,0.0001
HDG,CRNX,0.0001
HDG,BOOM,0.0001
HDG,ALLO,0.0001
HDG,GSHD,0.0001
HDG,GLDD,0.0001
HDG,CRSR,0.0001
HDG,HYFM,0.0001
HDG,UEC,0.0001
HDG,MMI,0.0001
HDG,FSP,0.0001
HDG,BHLB,0.0001
HDG,TIL,0.0001
HDG,REGI,0.0001
HDG,OFG,0.0001
HDG,DLX,0.0001
HDG,KIDS,0.0001
HDG,UFCS,0.0001
HDG,CMCO,0.0001
HDG,ASIX,0.0001
HDG,KREF,0.0001
HDG,GPRO,0.0001
HDG,ALEC,0.0001
HDG,GSAT,0.0001
HDG,CLBK,0.0001
HDG,PI,0.0001
HDG,RXDX,0.0001
HDG,CCCC,0.0001
HDG,BRMK,0.0001
HDG,KRNY,0.0001
HDG,EXPI,0.0001
HDG,ARRY,0.0001
HDG,VECO,0.0001
HDG,APR,0.0001
HDG,TGI,0.0001
HDG,CSWI,0.0001
HDG,ZUMZ,0.0001
HDG,RLAY,0.0001
HDG,CPRX,0.0001
HDG,CNDT,0.0001
HDG,ZUO,0.0001
HDG,VIVO,0.0001
HDG,SYBT,0.0001
HDG,BRSP,0.0001
HDG,HA,0.0001
HDG,GEF,0.0001
HDG,AMTB,0.0001
HDG,BTU,0.0001
HDG,COWN,0.0001
HDG,VTOL,0.0001
HDG,SNCY,0.0001
HDG,HTLD,0.0001
HDG,TCBK,0.0001
HDG,TNC,0.0001
HDG,LTC,0.0001
HDG,GOGO,0.0001
HDG,GES,0.0001
HDG,FBK,0.0001
HDG,ACEL,0.0001
HDG,CMPR,0.0001
HDG,SKIN,0.0001
HDG,PWSC,0.0001
HDG,SCHL,0.0001
HDG,FIZZ,0.0001
HDG,DHT,0.0001
HDG,MSBI,0.0001
HDG,NBHC,0.0001
HDG,ANAB,0.0001
HDG,PATK,0.0001
HDG,CEVA,0.0001
HDG,XPRO,0.0001
HDG,SFL,0.0001
HDG,DOMO,0.0001
HDG,ICFI,0.0001
HDG,KFRC,0.0001
HDG,TELL,0.0001
HDG,FROG,0.0001
HDG,ALX,0.0001
HDG,FBMS,0.0001
HDG,HAFC,0.0001
